Чек-лист и результаты выполнения тестов: тестирование вёрстки,,,,
,,,,
№,Описание проверки,Статус Окружение 1,Статус Окружение 2,Ссылка на баг-репорт
102,"Под текстом находятся на одном уровне две кнопки с текстом ""Нет"" и ""Да""",BLOCKED,BLOCKED,невозможно выполнить из-за бага https://tracker.yandex.ru/BUG-498681
103,"Кнопка ""Нет"" располагается у левой границы окна, цвет текста - белый, цвет кнопки - серый",BLOCKED,BLOCKED,невозможно выполнить из-за бага https://tracker.yandex.ru/BUG-498681
104,"Кнопка ""Да"" располагается у правой границы окна, цвет текста - белый, цвет кнопки - голубой",BLOCKED,BLOCKED,невозможно выполнить из-за бага https://tracker.yandex.ru/BUG-498681
"Всплывающее окно ""Поездка отменена""",,,,
105,"Всплывающее окно ""Поездка отменена"" с белым фоном и со скругленными угами",BLOCKED,BLOCKED,невозможно выполнить из-за бага https://tracker.yandex.ru/BUG-498681
106,"Всплывающее окно ""Поездка отменена"" отображается по центру экрана",BLOCKED,BLOCKED,невозможно выполнить из-за бага https://tracker.yandex.ru/BUG-498681
107,"Тесктовое содержание окна - ""Поездка отменена"" расположено в верхней части окна, варавнивание по горизонтали по ценрту, цвет текста - черный",BLOCKED,BLOCKED,невозможно выполнить из-за бага https://tracker.yandex.ru/BUG-498681
108,"Под текстом находится кнопка ""Принято""",BLOCKED,BLOCKED,невозможно выполнить из-за бага https://tracker.yandex.ru/BUG-498681
109,"Тескт кнопки принято выровнен по горизонтали по центру, цвет текста - белый",BLOCKED,BLOCKED,невозможно выполнить из-за бага https://tracker.yandex.ru/BUG-498681
110,"Цвет кнопки ""Принято"" - голубой",BLOCKED,BLOCKED,невозможно выполнить из-за бага https://tracker.yandex.ru/BUG-498681
